feature	accession_number	experiment_file	control_file
5fC	GSE40148	5fC_GSE40148.fastq.bed.sorted.bam	input_GSE40148.fastq.bed.sorted.bam
5hmC	GSE28682	5hmC_GSE28682.bed.sorted.bam	input_GSE28682.bed.sorted.bam
BRG1	GSE14344	BRG1_GSE14344.fastq.bed.sorted.bam	input_GSE14344.fastq.bed.sorted.bam
CBX3	GSE44242	CBX3_GSE44242.fastq.bed.sorted.bam	input_GSE44242.fastq.bed.sorted.bam
CBX7	GSE42466	CBX7_GSE42466.fastq.bed.sorted.bam	input_GSE42466_CBX7_RYBP.fastq.bed.sorted.bam
CDK9	GSE44286	CDK9_GSE44286.fastq.bed.sorted.bam	input_GSE44286.fastq.bed.sorted.bam
CMYC	GSE11431	CMYC_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
CTCF	GSE28247	CTCF_GSE28247.fastq.bed.sorted.bam	input_GSE28247.fastq.bed.sorted.bam
E2F1	GSE11431	E2F1_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
ESRRB	GSE11431	ESRRB_GSE11431.fastq.bed.sorted.bam	input_GSE11431.fastq.bed.sorted.bam
EZH2	GSE49431	EZH2_GSE49431.fastq.bed.sorted.bam	input_GSE49431.fastq.bed.sorted.bam
H2Aub1	GSE34518	H2AUB1_GSE34518.fastq.bed.sorted.bam	input_GSE34518.fastq.bed.sorted.bam
H2AZ	GSE53208	H2AZ_GSE53208.fastq.bed.sorted.bam	input_GSE47949.fastq.bed.sorted.bam
H3K27ac	GSE31039	H3K27ac_GSE31039.fastq.bed.sorted.bam	input_GSE86681.fastq.bed.sorted.bam
H3K27me3	GSE47949	H3K27me3_GSE47949.fastq.bed.sorted.bam	input_GSE47949.fastq.bed.sorted.bam
H3K36me3	GSE41589	H3K36me3_GSE41589.bed.sorted.bam	input_GSE41589.bed.sorted.bam
H3K4me1	GSE47949	H3K4me1_GSE47949.fastq.bed.sorted.bam	input_GSE47949.fastq.bed.sorted.bam
H3K4me3	GSE32218	H3K4me3_GSE32218.fastq.bed.sorted.bam	input_GSE32218.fastq.bed.sorted.bam
H3K79me2	GSE11724	H3K79me2_GSE11724.bed.sorted.bam	input_GSE11724.fastq.bed.sorted.bam
H3K9ac	GSE31039	H3K9ac_GSE31039.fastq.bed.sorted.bam	input_GSE86681.fastq.bed.sorted.bam
